lot,mean,hdi_5%,hdi_95%,source
2015-LOT-01,89.57974999999989,83.0,95.0,보수적 (Pessimistic)
2015-LOT-02,88.17737500000024,81.5,95.75,보수적 (Pessimistic)
2015-LOT-03,88.9340000000001,81.5,97.0,보수적 (Pessimistic)
2015-LOT-04,89.24587499999969,82.5,95.5,보수적 (Pessimistic)
2015-LOT-05,89.46875000000017,82.75,97.0,보수적 (Pessimistic)
2015-LOT-06,90.38912499999982,83.75,96.25,보수적 (Pessimistic)
2016-LOT-01,90.17800000000001,84.25,96.5,보수적 (Pessimistic)
2016-LOT-02,89.33324999999962,83.75,95.75,보수적 (Pessimistic)
2016-LOT-03,89.32775000000024,81.5,96.0,보수적 (Pessimistic)
2016-LOT-04,88.45787500000066,80.0,96.5,보수적 (Pessimistic)
2016-LOT-05,89.39862500000034,82.75,97.25,보수적 (Pessimistic)
2016-LOT-06,89.5151250000003,83.25,96.25,보수적 (Pessimistic)
2017-LOT-01,88.14449999999991,80.75,95.75,보수적 (Pessimistic)
2017-LOT-02,87.8254999999997,80.25,95.5,보수적 (Pessimistic)
2017-LOT-03,88.05612500000004,79.0,94.75,보수적 (Pessimistic)
2017-LOT-04,88.20287500000018,81.75,94.75,보수적 (Pessimistic)
2017-LOT-05,88.37537499999975,79.75,95.0,보수적 (Pessimistic)
2017-LOT-06,86.8195000000001,77.5,95.25,보수적 (Pessimistic)
2018-LOT-01,88.95762499999971,82.25,95.75,보수적 (Pessimistic)
2018-LOT-02,89.58849999999988,83.25,95.25,보수적 (Pessimistic)
2018-LOT-03,90.02387499999995,83.75,95.25,보수적 (Pessimistic)
2018-LOT-04,89.20475000000015,83.25,96.75,보수적 (Pessimistic)
2018-LOT-05,89.65937500000008,83.0,95.0,보수적 (Pessimistic)
2018-LOT-06,89.21849999999947,81.5,95.25,보수적 (Pessimistic)
2019-LOT-01,88.75499999999985,82.25,94.5,보수적 (Pessimistic)
2019-LOT-02,88.54487499999966,80.5,94.75,보수적 (Pessimistic)
2019-LOT-03,88.71862500000026,82.0,96.25,보수적 (Pessimistic)
2019-LOT-04,89.12862500000026,82.25,94.75,보수적 (Pessimistic)
2019-LOT-05,89.26699999999961,84.25,94.75,보수적 (Pessimistic)
2019-LOT-06,88.76337500000017,82.75,95.0,보수적 (Pessimistic)
